year,selling_price,km_driven,fuel,seller_type,transmission,owner,price_category
-1.402565844787885,-0.8128194397268309,0.015753678402959433,4,1,1,0,Low
-1.402565844787885,-0.6655384279604372,-0.40465030315317363,4,1,1,0,Low
-0.22641758268964077,0.24760384499120355,0.646359650737159,1,1,1,0,High
0.9497306794086035,-0.4397075432519669,-0.48873109946440024,4,1,1,0,Low
0.24404172214965691,-0.04695817854158378,1.5081878129272317,1,1,1,2,Medium
-1.402565844787885,-0.6557196938426776,1.1718646276823252,4,1,1,0,Low
0.7145010269889546,0.14941650381360777,-0.9301552800983399,4,1,1,0,High
0.24404172214965691,-0.4593450114874861,-0.1944483123751071,4,1,1,2,Low
0.4792713745693058,0.7385405508791825,-0.9301552800983399,4,1,1,0,High
0.9497306794086035,-0.2138766585434966,0.18391527102541266,0,1,1,0,Medium
0.4792713745693058,-0.4200700750164478,-0.7199532893202734,4,1,1,0,Medium
0.24404172214965691,-0.4397075432519669,0.646359650737159,4,1,1,0,Low
0.4792713745693058,0.21814764263792483,-0.9511754791761465,4,0,1,0,High
0.008812069730008075,-0.16478298795469873,-0.7619936874758867,1,1,1,2,Medium
1.1849603318282522,0.984008903823172,-1.3610693611933762,1,0,0,0,High
1.1849603318282522,0.8956402967633358,-1.1508673704153098,4,0,1,0,High
1.1849603318282522,0.1003228332248099,-1.1403572708764065,4,1,1,0,High
-0.4616472351092896,-0.04695817854158378,1.2853737027024812,1,0,0,2,Medium
0.7145010269889546,0.8367278920567782,-0.40465030315317363,4,1,0,0,High
-0.6968768875289385,0.7385405508791825,1.0457434332154854,4,0,0,0,High
0.24404172214965691,-0.47898444346982877,-0.1944483123751071,4,1,1,1,Low
-0.22641758268964077,0.29669751558000146,-0.6148522939312401,1,1,1,0,High
0.24404172214965691,1.1312899155895657,-0.40465030315317363,1,1,1,0,High
0.24404172214965691,0.16905397204912695,0.09983447471418604,1,1,1,2,High
0.24404172214965691,-0.36115767030989027,-0.11036751606388048,4,1,1,2,Medium
-0.22641758268964077,-0.39061387266316905,-0.1944483123751071,4,1,1,2,Medium
-0.9321065399485873,-0.12354430466010849,1.066763632293292,1,1,1,2,Medium
-0.9321065399485873,-0.6360822256071584,0.2049354701032193,4,1,1,4,Low
1.420189984247901,0.051229162636012,-1.1403572708764065,4,1,1,0,High
-1.637795497207534,-0.7342695667847543,0.22595566918102594,4,1,1,0,Low
0.9497306794086035,0.493072197935193,-1.0667865741040832,1,0,1,0,High
1.1849603318282522,-0.14318177289562764,-1.2412542264498783,4,0,1,0,Medium
1.1849603318282522,0.542165868523991,-0.8460744837871133,1,0,1,0,High
1.1849603318282522,-0.32188273383885196,-0.86709468286492,4,0,1,0,Medium
0.7145010269889546,0.37524738852207806,-0.48873109946440024,1,0,1,0,High
0.24404172214965691,-0.017501976188305048,0.015753678402959433,1,0,1,0,Medium
-0.22641758268964077,-0.6164447573716393,-0.1944483123751071,4,1,1,2,Low
0.24404172214965691,0.3948848567575972,0.4361576599590925,1,0,1,0,High
0.008812069730008075,-0.3415202020743711,0.22595566918102594,4,0,1,0,Medium
-1.8730251496271828,-0.7931819714913118,0.22595566918102594,1,1,1,0,Low
0.24404172214965691,-0.4593450114874861,0.08512033535972138,4,0,1,2,Low
0.24404172214965691,0.1003228332248099,0.4781980581147058,1,0,1,0,High
-0.9321065399485873,-0.6341184787836066,-0.052267685812822894,4,0,1,2,Low
-0.9321065399485873,-0.6557196938426776,0.646359650737159,4,1,1,0,Low
0.9497306794086035,0.1886914402846461,-0.1944483123751071,1,1,1,0,High
1.1849603318282522,-0.3415202020743711,-0.8040340856315,4,1,1,0,Medium
-1.402565844787885,-0.7342695667847543,-0.6358724930090468,1,1,1,0,Low
-0.9321065399485873,0.051229162636012,1.066763632293292,1,1,1,4,High
0.24404172214965691,-0.6851758961959564,2.033692789872398,1,1,1,1,Low
-1.637795497207534,-0.6753571620781967,0.8565616415152255,4,1,1,4,Low
0.9497306794086035,0.8858215626455762,-0.7199532893202734,1,1,1,0,High
1.1849603318282522,0.542165868523991,-0.1944483123751071,1,1,1,0,High
-1.402565844787885,-0.5378948844295627,-0.320569506841947,4,1,0,2,Low
-0.6968768875289385,-0.44363503689907074,-0.13138771514168712,4,1,1,2,Low
0.24404172214965691,-0.04695817854158378,1.066763632293292,1,1,1,2,Medium
-1.8730251496271828,-0.7735445032557926,1.066763632293292,4,1,1,4,Low
0.24404172214965691,0.34579118616879934,0.14187487286979936,4,1,1,2,High
0.4792713745693058,-0.04695817854158378,0.22595566918102594,1,1,1,0,Medium
1.420189984247901,0.34579118616879934,-0.9301552800983399,1,1,1,0,High
0.7145010269889546,0.041410428518252426,-1.2043007164710944,4,0,1,0,High
0.4792713745693058,-0.20209417760218512,-1.035256275487373,4,0,1,0,Medium
0.9497306794086035,1.0821962450007678,-1.2664784653432464,4,0,1,0,High
0.4792713745693058,0.542165868523991,0.015753678402959433,1,1,1,0,High
0.008812069730008075,0.24760384499120355,1.066763632293292,1,1,1,0,High
-1.402565844787885,-0.7735445032557926,-0.2364887105307204,4,0,1,2,Low
0.008812069730008075,-0.29242653148557324,-0.14820387440393246,1,0,1,0,Medium
0.4792713745693058,-0.24333286089677536,-0.34158970591975363,1,1,1,2,Medium
0.9497306794086035,-0.5182574161940435,-1.1403572708764065,4,0,1,2,Low
0.008812069730008075,-0.04695817854158378,-0.40465030315317363,4,1,1,0,Medium
0.008812069730008075,1.3276645979447572,-0.34158970591975363,1,0,0,0,High
-0.9321065399485873,-0.5182574161940435,-0.1208776156027838,4,0,0,0,Low
-1.1673361923682362,-0.5869885550183606,-0.8424379893466527,4,0,1,0,Low
0.9497306794086035,0.3025887560506572,1.066763632293292,1,1,1,0,High
-0.6968768875289385,0.24760384499120355,0.646359650737159,1,1,1,0,High
0.9497306794086035,-0.1471092665427315,-0.8250542847093066,4,1,1,0,Medium
1.1849603318282522,0.542165868523991,0.3730970627256725,1,1,1,0,High
1.420189984247901,0.542165868523991,-1.1403572708764065,4,1,1,0,High
0.9497306794086035,-0.3120639997210924,-1.1193370717985998,4,1,1,0,Medium
-0.22641758268964077,0.24760384499120355,-0.1944483123751071,1,1,1,0,High
-0.6968768875289385,-0.7342695667847543,-0.1944483123751071,4,1,1,1,Low
-0.4616472351092896,-0.4397075432519669,0.8565616415152255,4,1,1,4,Low
